,energy,loudness,speechiness,valence,liveness,tempo,danceability,acousticness,duration_ms,instrumentalness,popularity,market_count
count,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
mean,0.64,-6.29,0.09,0.5,0.17,119.61,0.66,0.22,219295.01,0.01,69.83,168.08
std,0.17,2.34,0.09,0.23,0.13,27.49,0.14,0.24,43882.49,0.05,24.55,46.56
min,0.11,-18.06,0.02,0.06,0.03,64.93,0.19,0.0,95467.0,0.0,0.0,1.0
25%,0.54,-7.5,0.04,0.33,0.09,98.03,0.58,0.03,193450.25,0.0,73.0,180.0
50%,0.66,-5.87,0.05,0.48,0.12,118.07,0.67,0.12,214750.0,0.0,80.0,184.0
75%,0.77,-4.68,0.1,0.67,0.19,136.42,0.75,0.31,241769.5,0.0,84.0,184.0
max,0.97,-2.03,0.49,0.98,0.79,205.85,0.95,0.98,417920.0,0.66,96.0,185.0
